"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Bauernhausmuseum","Q27485297",,,,,,,,2,"7.64572","47.52156",2020-01-13 11:52:05
"Local museum Muttenz","Q27485302","Local museum Muttenz",,"http://commons.wikimedia.org/wiki/Special:FilePath/Ortsmuseum%20Muttenz.jpg","https://commons.wikimedia.org/wiki/Category:Local_museum_Muttenz",,,,11,"7.64729","47.5246",2020-01-13 11:52:05
"Textilmuseum Sorntal","Q27485343","Textilmuseum, Sorntal",,"http://commons.wikimedia.org/wiki/Special:FilePath/Textilmuseum%20Sorntal.jpg","https://commons.wikimedia.org/wiki/Category:Textilmuseum,_Sorntal",,,,5,"9.231525","47.4738",2020-01-13 11:52:05
"Naturmuseum Olten","Q27487024","Naturmuseum Olten","http://www.naturmuseum-olten.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Paradentose%20an%20einem%20Unterkiefer%20eines%20Rehs.jpg","https://commons.wikimedia.org/wiki/Category:Naturmuseum_Olten",,,,12,"7.9014","47.34995",2020-01-13 11:52:05
"Heimatmuseum Oltingen-Wenslingen-Anwil","Q27487030",,,,,,,,12,"7.93386","47.43281",2020-01-13 11:52:05
"Musée d'Orbe","Q27487036",,"http://www.pro-urba.ch/",,,,,,5,"6.532753","46.723256",2020-01-13 11:52:05
"Musée des Ormonts","Q27487040",,"https://museeormonts.ch/",,,,,,10,"7.13205","46.3538",2020-01-13 11:52:05
"Museum Casa del Padre","Q27487042","Madonna del Sasso (Orselina)",,"http://commons.wikimedia.org/wiki/Special:FilePath/120OrselinaMadonnaSasso.jpg",,,,,5,"8.79353","46.17534",2020-01-13 11:52:05
"Museum San Salvatore","Q27487051",,"http://www.montesansalvatore.ch/it/cultura/museo/",,,,,,6,"8.94702","45.97709",2020-01-13 11:52:05
"Museum der Abtei Payerne","Q27487055",,"http://www.musee-abbatiale.ch",,,,,,0,"6.937758","46.820531",2020-01-13 11:52:05
"Vögele Kultur Zentrum","Q27487071",,"http://www.voegelekultur.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Seedamm%20Kulturzentrum%20Pf%C3%A4ffikon.JPG",,,,,10,"8.794209","47.200728",2020-01-13 11:52:05
"Museum auf der Löwenburg","Q27487082",,,,,,,,13,"7.314269","47.433539",2020-01-13 11:52:05
"Musée de l'Hôtel-Dieu","Q27487094",,"http://www.mhdp.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Porrentruy%20Hotel%20Dieu.JPG",,,,,13,"7.07549","47.41666",2020-01-13 11:52:05
"Museo Poschiavino","Q27487104","Museo valligiano poschiavino, Poschiavo","http://www.museoposchiavino.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Museo%20valligiano%20poschiavino%20Poschiavo.jpg","https://commons.wikimedia.org/wiki/Category:Museo_valligiano_poschiavino,_Poschiavo",,,,4,"10.05665","46.32654",2020-01-13 11:52:05
"Museum im Bürgerhaus","Q27487111",,"http://www.kulturpratteln.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20im%20B%C3%BCrgerhaus%20Pratteln.jpg",,,,,6,"7.69558","47.51757",2020-01-13 11:52:05
